ptid,E01,E03,10x_pfreq,count
525,9.167465764099103e-06,1.0908813230208685e-05,,118
525,1.1000958916918926e-05,8.727050584166948e-06,,112
525,1.2834452069738746e-05,6.545287938125212e-06,,106
525,1.1000958916918926e-05,1.0908813230208685e-05,,100
525,1.2834452069738746e-05,1.0908813230208685e-05,,98
525,1.2834452069738746e-05,8.727050584166948e-06,,87
525,0.0,1.3090575876250423e-05,,86
525,1.2834452069738746e-05,0.0,,86
525,1.4667945222558566e-05,4.363525292083474e-06,,84
525,1.4667945222558566e-05,6.545287938125212e-06,,77
525,1.8334931528198208e-06,1.3090575876250423e-05,,73
525,5.500479458459463e-06,1.3090575876250423e-05,,73
525,1.4667945222558566e-05,2.181762646041737e-06,,72
525,1.4667945222558566e-05,8.727050584166948e-06,,72
525,7.333972611279283e-06,1.3090575876250423e-05,,70
525,1.2834452069738746e-05,1.3090575876250423e-05,,70
525,9.167465764099103e-06,1.3090575876250423e-05,,68
525,0.0,1.527233852229216e-05,,65
525,1.1000958916918926e-05,1.3090575876250423e-05,,63
525,1.4667945222558566e-05,1.0908813230208685e-05,,62
525,5.500479458459463e-06,1.527233852229216e-05,,59
525,1.1000958916918926e-05,1.527233852229216e-05,,59
525,3.6669863056396416e-06,1.3090575876250423e-05,,57
525,1.6501438375378387e-05,6.545287938125212e-06,,57
525,1.6501438375378387e-05,2.181762646041737e-06,,54
525,1.6501438375378387e-05,4.363525292083474e-06,,54
525,1.6501438375378387e-05,1.0908813230208685e-05,,51
525,1.8334931528198207e-05,8.727050584166948e-06,,50
525,1.4667945222558566e-05,0.0,,48
525,1.6501438375378387e-05,8.727050584166948e-06,,48
525,1.4667945222558566e-05,1.3090575876250423e-05,,46
525,7.333972611279283e-06,1.527233852229216e-05,,44
525,1.8334931528198207e-05,1.0908813230208685e-05,,43
525,9.167465764099103e-06,1.7454101168333896e-05,,40
525,1.6501438375378387e-05,1.3090575876250423e-05,,40
525,9.167465764099103e-06,1.527233852229216e-05,,39
525,2.0168424681018027e-05,1.3090575876250423e-05,,39
525,0.0,1.7454101168333896e-05,,38
525,1.8334931528198207e-05,4.363525292083474e-06,,38
525,1.4667945222558566e-05,1.527233852229216e-05,,37
525,1.6501438375378387e-05,1.527233852229216e-05,,37
525,1.6501438375378387e-05,1.7454101168333896e-05,,37
525,1.8334931528198207e-05,1.527233852229216e-05,,36
525,1.2834452069738746e-05,1.527233852229216e-05,,35
525,2.0168424681018027e-05,1.0908813230208685e-05,,35
525,1.6501438375378387e-05,0.0,,34
